"location_id","parameter","result","units","nondetect_flag","start_date_time","start_date","start_time","end_date_time","end_date","end_time","precip","precip_units","inches_rain_per_hour","yday","month","year","season","latitude","longitude","land_use","daymet_units","daymet_precip","daymet_3day","daymet_7day","daymet_14day","daymet_21day","daymet_28day","mPrecip","antecedant_dry_days","access_id","agency","loc","ruRES","urbRES","totRES","intURB","intURB_IND","grass","greenery","greenery_bareEarth","not_greenBE","not_green","paved","log_paved","roofs","impervious","nodev","trees","sqrt_traffic","sqrt_traffic_max","sqrt_traffic_mean","sqrt_traffic_sum","roads","rail_max","rail_mean","rail_sum","sqrt_popn","no2","pm25_na","partSA","sqrt_slope","sqrt_CO2_res","sqrt_CO2_com","sqrt_CO2_road","sqrt_CO2_nonroad","sqrt_CO2_almostTotal","sqrt_CO2_transport","sqrt_CO2_cmv_rail","log_CO2_cmv_rail","sqrt_CO2_transport_max","sqrt_CO2_transport_mean","sqrt_CO2_transport_sum","devAge2","roof_intURB","roof_urbRES","roof_intURB_IND","roof_totRES","daymet_precipCR","daymet_3dayCR","daymet_7dayCR","daymet_14dayCR","daymet_21dayCR","daymet_28dayCR","daymet_precipSR","daymet_3daySR","daymet_7daySR","daymet_14daySR","daymet_21daySR","daymet_28daySR","daymet_14dayLog","daymet_21dayLog","daymet_28dayLog","daymet_28dayFR","mPrecipLog","mPrecipSR","mPrecipCR","daymet_precip_std","daymet_3day_std","daymet_7day_std","daymet_14day_std","daymet_21day_std","daymet_28dayLog_std","daymet_28daySR_std","daymet_28dayCR_std","daymet_28dayFR_std","antecedant_dry_days_std"
"SNO_HDR","CPAH - Water - Total",0.1,"ug/L",TRUE,"2012-06-12 23:15:00","2012-06-12","23:15:00","2012-06-13 13:22:00","2012-06-13","13:22:00",0.74,"in",0.0349606299212598,164,6,2012,2,47.84607,-122.194,"HDR","prcp..mm.day.",15.27,15.8800000000001,33.8600000000001,60.2199999999999,73.1000000000002,100.78,114.18,0,103822,"Snohomish Co","SNO_HDR",-0.398541823647029,0.714605073568329,0.0811551020911217,-0.797378749665018,-1.02000120234299,-0.00120350147301617,0.59309990182177,0.590882296661413,-0.590882296661413,-0.59309990182177,-0.732193565351368,-0.673954497403998,0.210901914172244,-0.581233955520635,-0.348671375224484,2.19319760780511,-0.699148975180143,-0.851366809227295,-0.740393467741634,-0.573746765139001,0.29254631514392,-0.609449400220044,-0.399481686928586,-0.555464876791855,0.292211606067778,-0.406866517009167,-1.20631829081516,-0.0462392840268495,-1.01046228361595,0.224242030529656,-0.617843301747087,-0.556318993586744,-0.49978611267582,-0.704233384763638,-0.764510528275249,-0.444239407429542,-0.712075698087716,-0.943482846638012,-0.764510528275249,-0.677878343609528,-0.689377318049911,-0.682809157412967,1.51406847860335,-0.814490509317589,1.00216781478206,2.48092144046278,2.51352667957635,3.2351591582011,3.91964664314517,4.18124669970239,4.65362572270425,3.90768473651598,3.98497176903427,5.81893461039047,7.76015463763448,8.54985379991963,10.0389242451569,4.09800452305359,4.29182836675574,4.61293992325245,3.1684261463946,4.73777615053611,10.6855041996155,4.8513582478494,0.587458257627034,0.00468843401684729,0.179771578525689,0.158494357407727,-0.185762008916829,0.160197115760774,0.0297521471842632,0.0756770677688681,0.0980852327956054,-0.765856540455024
"TFWFD1","CPAH - Water - Total",0.079,"ug/L",FALSE,NA,"2011-08-22",NA,NA,NA,NA,NA,NA,NA,234,8,2011,3,47.2408,-122.4315,"HDR","prcp..mm.day.",6.44,6.44000000000011,6.44000000000036,6.44000000000003,6.44000000000013,6.43999999999981,6.44,3.3322045101752,103986,"Tacoma","TAC_HDR",-0.369536986730548,1.48093256547478,0.570623694133256,-0.371961394535914,-0.57394269853209,0.871188260580913,0.707032185669522,0.705322515917352,-0.705322515917352,-0.707032185669522,-0.509131902763404,-0.345606506145012,-0.59336257980148,-0.706593446158481,-0.116113619469209,-0.236639028639335,0.982008787427046,2.03546602666709,0.904221599066051,3.04344115051551,0.604685400959288,1.52362350055011,-0.339474128199511,1.27114155757297,0.162843825628787,0.102909646156832,0.874102859719193,0.555314955935845,0.402625502035265,0.309292858175359,-0.103088865266092,0.238246965970521,0.0763255674666976,0.040356312033881,0.0771760722504616,-0.304755656161853,-0.0390485411997248,1.17400454950701,0.0771760722504616,2.75442651709295,0.279118060163178,-0.495122587458739,1.28736268694807,-0.607082724159849,0.850914988932537,1.86049549369005,1.86049549369006,1.86049549369008,1.86049549369005,1.86049549369006,1.86049549369003,2.5377155080899,2.53771550808993,2.53771550808997,2.53771550808991,2.53771550808993,2.53771550808987,1.86252854011627,1.86252854011628,1.86252854011623,1.5930208749699,1.86252854011626,2.5377155080899,1.86049549369005,-0.609806063778832,-0.92648263338032,-1.1648677309229,-1.55169712170591,-1.87349775809713,-4.19796453008558,-2.85048771390846,-3.24674980830751,-3.46521166049929,3.29426706459744
"SEAC1S8D_OUT","CPAH - Water - Total",0.1,"ug/L",TRUE,"2011-03-24 20:30:00","2011-03-24","20:30:00","2011-03-25 08:53:00","2011-03-25","08:53:00",0.22,"in",0.0176,83,3,2011,1,47.65402,-122.3144,"COM","prcp..mm.day.",4.55,4.55000000000003,10.66,79.2499999999999,130.68,160.62,165.54,1.09861228866811,103642,"Seattle","SEA_COM",-0.398541823647029,-0.703889287237028,-0.777523534840853,1.41222166476733,1.24046909063869,-0.73161486573504,-0.788538016937365,-0.794917808499938,0.794917808499938,0.788538016937365,0.10113121378509,0.339169990606361,2.06038729181322,0.934232357149613,-0.649167773836422,-0.5827052272582,1.35218737003553,2.09339981290885,1.33818351729666,0.656151073396798,1.47846652098291,-0.609449400220044,-0.399481686928586,-0.555464876791855,2.45650822024565,0.724985044528424,0.185346467949857,2.42675032646123,0.170378477916017,1.97030272229552,2.45620317552345,2.05861535028134,2.05202583794988,2.27028794898629,1.99747593998047,-0.444239407429542,-0.712075698087716,1.69092689368518,1.99747593998047,1.12034930660079,0.905031965337867,2.13178981721718,-0.292838371265017,2.07884751444521,-0.553733990705551,1.65705579634347,1.65705579634347,2.20082613601456,4.29536186390886,5.07461433486895,5.43583844066409,2.13307290077015,2.13307290077016,3.2649655434629,8.90224690738242,11.4315353299546,12.6735945966407,4.37260741275739,4.87275158673287,5.07904132676032,3.55999924110114,5.10921285745725,12.8662348804924,5.49078346223158,-0.86607215295857,-1.11291412886557,-0.957924700803552,0.763643926904429,1.27208114196528,0.898757635215445,1.04138678277096,1.0061186669333,0.983756505562043,0.57274727944905
"PIECOMM_OUT","CPAH - Water - Total",0.1,"ug/L",TRUE,"2012-04-11 10:22:00","2012-04-11","10:22:00","2012-04-12 04:22:00","2012-04-12","04:22:00",NA,NA,NA,102,4,2012,2,47.15463,-122.3538,"COM","prcp..mm.day.",5.99,5.99000000000003,7.60999999999998,57.55,71.9999999999997,122.35,105.86,1.79175946922805,200306,"Pierce Co","PIE_COM",-0.398541823647029,-0.836805114337189,-0.857983481947201,1.56905387258138,1.40091192203518,-0.494313845190377,-0.433393200221036,-0.438703117464959,0.438703117464959,0.433393200221037,0.323527898226239,0.537832266590404,0.611176123051975,0.544687457628477,-0.741313462709205,-0.639624105098666,-0.519441608371021,0.365932543876558,-0.507146003466212,-0.570182139631369,-0.615029227313394,-0.609449400220044,-0.399481686928586,-0.555464876791855,-0.0176625932785783,-0.199969078857662,0.54964498826564,0.204825690555769,0.728688851959705,-0.469017173495657,-0.48305722072177,0.593175976566318,-0.425362964537581,0.212041315269559,0.449626859279342,-0.444239407429542,-0.712075698087716,0.140946238388577,0.449626859279342,-0.583426916194453,0.399332430780704,1.25070988070025,-0.61527017878076,1.17311916547715,-0.831375437190147,1.81611052003211,1.81611052003212,1.96695708947976,3.86083975036054,4.1601676461038,4.9644139947775,2.44744765010408,2.44744765010409,2.75862284482674,7.58617163001207,8.48528137423855,11.0611934256661,4.05265413516789,4.27666611901605,4.80688578988868,3.3258372518309,4.66211746642984,10.2888288935136,4.73053902827257,-0.670821799297817,-0.970871084686336,-1.10749253062916,0.0735889790285292,-0.213612433820807,0.467513847551141,0.422272945588337,0.445359547010052,0.454122192392705,1.41731225767094
"POT564S8D_OUT","CPAH - Water - Total",0.1,"ug/L",TRUE,"2010-03-10 11:00:00","2010-03-10","11:00:00","2010-03-12 06:35:00","2010-03-12","06:35:00",0.99,"in",0.0199663865546218,69,3,2010,1,47.2659,-122.412,"COM","prcp..mm.day.",0.76,4.24000000000008,7.9500000000004,28.41,43.1100000000003,85.0699999999999,119.21,0,105204,"Port of Tacoma","POT_COM",-0.398541823647029,-0.836805114337189,-0.857983481947201,-0.797378749665018,0.539049598329629,-1.45066663136634,-1.66875424704583,-1.67758187833038,1.67758187833038,1.66875424704583,1.9261546034438,1.56253264440274,-1.65361202450396,1.07996892939058,0.182316205378552,-0.813437033240266,-1.2530708756054,-0.677269954337822,-1.26786519092347,-0.628304236688528,-1.95467147737858,1.52362350055011,1.27412946778088,2.41681913661477,-1.45313134175585,0.299019440386084,0.632050893721571,0.575146138914421,-1.37847997933918,-1.37658604573281,-0.203674388897233,-1.35378621213021,-0.21147510059903,0.385081895606782,0.668202793373669,3.28017366208297,2.36512019553185,0.247171000753537,0.668202793373669,0.198133215048999,-0.112534314815939,-0.682809157412967,-0.61527017878076,-0.504462412701522,-0.831375437190147,0.912580527077393,1.6185344669133,1.99582462251083,3.05133865809373,3.50638291030582,4.39803631383498,0.871779788708135,2.05912602819742,2.81957443597441,5.33010318849457,6.56582058847181,9.22333995903869,3.3467411958661,3.76375498875905,4.44347444698779,3.03699521880406,4.78088664372991,10.9183332061263,4.92157637811977,-1.3799602365518,-1.14349283976526,-1.09081939550104,-0.85305623669054,-0.945065866071299,-0.108329237598617,-0.283407831866943,-0.22834639395402,-0.199189014320969,-0.765856540455024
"TAC003S8D_OF245","CPAH - Water - Total",0.012,"ug/L",TRUE,"2012-03-05 06:55:00","2012-03-05","06:55:00","2012-03-05 12:05:00","2012-03-05","12:05:00",0.31,"in",0.0652631578947368,65,3,2012,1,47.24561,-122.4307,"IND","prcp..mm.day.",9.45,9.45000000000011,19.0600000000003,31.1500000000002,62.3500000000002,82.9299999999999,180.89,1.09861228866811,103944,"Tacoma","TAC_IND",-0.398541823647029,-0.836805114337189,-0.857983481947201,-0.392131129246398,0.339825670569272,-1.33519819821139,-1.57126269186639,-1.58000044274264,1.58000044274264,1.57126269186639,1.52076997597884,1.3509228886337,0.971823156092076,1.78341606499254,-0.741313462709205,-0.813437033240266,-1.02822302280318,-0.731845163575307,-1.00974488275734,-0.593347749640085,-0.790738875290866,1.52362350055011,3.10856119548179,1.53147024666784,-0.432499571194596,0.299019440386084,1.53020601204523,0.575146138914421,-0.954547733808462,-1.28201217954123,0.0194305951033987,0.414664774390469,-0.0339123480674391,0.183782041587093,0.40664620892213,0.692175446182159,1.47246340359738,0.217378824972521,0.40664620892213,-0.328934110629389,1.02202072706653,-0.428358047557829,-0.61527017878076,0.364144762795292,-0.831375437190147,2.11418961961947,2.11418961961948,2.67120754106125,3.14643924511059,3.965325284583,4.36084404162677,3.07408522978788,3.0740852297879,4.36577599058865,5.58121850495035,7.89620161849988,9.10659101969556,3.43881424523347,4.13276367212605,4.41799687846311,3.01771287893589,5.19788911171354,13.4495353079577,5.65550667866995,-0.201678588418509,-0.62957321464457,-0.546000185873986,-0.765924874608507,-0.457936615932853,-0.148699693689108,-0.328235933660022,-0.272586581354994,-0.24280236448168,0.57274727944905
"TFWFD1","CPAH - Water - Total",0.007,"ug/L",TRUE,"2009-10-16 10:00:00","2009-10-16","10:00:00","2009-10-17 08:55:00","2009-10-17","08:55:00",1.15,"in",0.0294871794871795,289,10,2009,4,47.2408,-122.4315,"HDR","prcp..mm.day.",18.93,29.5400000000001,33.5500000000003,36.4300000000001,43.0500000000001,49.7999999999999,134.61,0,103953,"Tacoma","TAC_HDR",-0.369536986730548,1.48093256547478,0.570623694133256,-0.371961394535914,-0.57394269853209,0.871188260580913,0.707032185669522,0.705322515917352,-0.705322515917352,-0.707032185669522,-0.509131902763404,-0.345606506145012,-0.59336257980148,-0.706593446158481,-0.116113619469209,-0.236639028639335,0.982008787427046,2.03546602666709,0.904221599066051,3.04344115051551,0.604685400959288,1.52362350055011,-0.339474128199511,1.27114155757297,0.162843825628787,0.102909646156832,0.874102859719193,0.555314955935845,0.402625502035265,0.309292858175359,-0.103088865266092,0.238246965970521,0.0763255674666976,0.040356312033881,0.0771760722504616,-0.304755656161853,-0.0390485411997248,1.17400454950701,0.0771760722504616,2.75442651709295,0.279118060163178,-0.495122587458739,1.28736268694807,-0.607082724159849,0.850914988932537,2.66512063161686,3.09126922510281,3.22525587377515,3.31502181289,3.50475544063118,3.67911289265974,4.35086198356142,5.43507129668049,5.79223618302986,6.03572696532904,6.56124988092971,7.05691150575093,3.59539261102048,3.76236223087374,3.9080149840306,2.65648480246941,4.902381708656,11.6021549722455,5.12498314489797,1.08371957318145,1.35212453366148,0.164569602379489,-0.598022103881102,-0.946584980156975,-0.956791001781885,-1.11525157946602,-1.08350540929158,-1.05983840339241,-0.765856540455024
"SNO_COM","CPAH - Water - Total",0.1,"ug/L",TRUE,"2012-01-04 09:15:00","2012-01-04","09:15:00","2012-01-04 23:56:00","2012-01-04","23:56:00",0.5,"in",0.0344827586206897,4,1,2012,1,47.8811,-122.239,"COM","prcp..mm.day.",10.13,19.1100000000001,25.7500000000002,45.8599999999998,51.5200000000004,55.4999999999999,133.12,0,103777,"Snohomish Co","SNO_COM",-0.398541823647029,-0.836805114337189,-0.857983481947201,1.56905387258138,1.40091192203518,-0.437886916033945,-0.277595959163603,-0.282436536973924,0.282436536973924,0.277595959163603,-0.096913650658734,0.142831337599204,1.13080178927544,0.373799364217657,-0.613050972486333,-0.666301729488202,0.800393773872047,0.0467040871558877,1.13512795651564,0.235423808041198,0.203604753280071,-0.609449400220044,-0.399481686928586,-0.555464876791855,1.43178944169354,-0.492059869076169,-0.914686690095396,-0.30985779606332,0.0097964793185241,1.44732572273196,0.746479819718672,-0.0959604592575449,1.63911669524091,0.17205609241139,-0.278263504389195,-0.444239407429542,-0.712075698087716,1.17602951909443,-0.278263504389195,-0.218399438751796,-0.346685747684989,1.61129495344717,-0.61527017878076,1.54379168798706,-0.831375437190147,2.16373040786311,2.67354128988157,2.95297029181225,3.57940920101015,3.7209909873801,3.81444181292656,3.18276609256791,4.37149859887889,5.07444578254613,6.77200118133479,7.17774337797057,7.44983221287566,3.82559327742975,3.94197008179611,4.01638302075239,2.72943807639515,4.8912509770729,11.5377640814848,5.10600343908793,-0.109477032523153,0.32329887339109,-0.217931732912242,-0.298150299343334,-0.732136708396434,-0.785076536021493,-0.964381776667832,-0.922531732828405,-0.894830592989309,-0.765856540455024
"KICHDRS8D_OUT","CPAH - Water - Total",0.031,"ug/L",FALSE,"2012-11-23 09:50:00","2012-11-23","09:50:00","2012-11-23 22:30:00","2012-11-23","22:30:00",1.43,"in",0.0493103448275862,328,11,2012,4,47.56529,-121.8946,"HDR","prcp..mm.day.",32.45,43.3900000000001,133.14,157.51,170.82,266.79,214.67,0,103471,"King Co","KIC_HDR",-0.398541823647029,1.20781296183091,0.37971608965611,-0.797378749665018,-1.02000120234299,1.93014279111382,1.27273928613453,1.27256909568781,-1.27256909568781,-1.27273928613452,-1.16963922536346,-1.55247699964138,-0.637480244419503,-1.32670464798279,-0.0279326156715865,-0.359421268287733,-1.15375767998969,-0.995292008314189,-1.17746562143237,-0.660082128148359,0.617807489820029,-0.609449400220044,-0.399481686928586,-0.555464876791855,-0.342333383219184,-1.74561609601164,-0.911081667863456,-1.4459267119003,-0.9206134425137,-0.581752343646302,-0.836773392102955,-0.546306436543838,-1.1302464345183,-0.87550888916237,-0.753934910141664,-0.444239407429542,-0.712075698087716,-0.893097824119257,-0.753934910141664,-0.76946947900404,0.256711358450372,-0.682809157412967,-0.0842575576584605,-0.814490509317589,-0.374128016825847,3.18961476989704,3.51395786799645,5.10625913558988,5.4005257832807,5.54855087561815,6.43758805296344,5.69649014745045,6.58710862214979,11.5386307679898,12.5502988012238,13.0698125464752,16.333707478708,5.05948894831364,5.140610370518,5.58646183207966,4.04149817254789,5.369101965266,14.6516210707212,5.98765982258841,2.91690344921852,2.71830242385753,5.04832703593114,3.25229370666333,2.28836846527907,1.70279029671393,2.44676068830381,2.19769928155329,2.0728246188085,-0.765856540455024
"POT564S8D_OUT","CPAH - Water - Total",0.1,"ug/L",TRUE,"2011-04-10 06:47:00","2011-04-10","06:47:00","2011-04-11 08:44:00","2011-04-11","08:44:00",0.16,"in",0.00500782472613459,100,4,2011,2,47.2659,-122.412,"COM","prcp..mm.day.",4.52,5.61000000000006,31.7100000000004,90.9900000000002,114.8,147.38,128.19,0,105209,"Port of Tacoma","POT_COM",-0.398541823647029,-0.836805114337189,-0.857983481947201,-0.797378749665018,0.539049598329629,-1.45066663136634,-1.66875424704583,-1.67758187833038,1.67758187833038,1.66875424704583,1.9261546034438,1.56253264440274,-1.65361202450396,1.07996892939058,0.182316205378552,-0.813437033240266,-1.2530708756054,-0.677269954337822,-1.26786519092347,-0.628304236688528,-1.95467147737858,1.52362350055011,1.27412946778088,2.41681913661477,-1.45313134175585,0.299019440386084,0.632050893721571,0.575146138914421,-1.37847997933918,-1.37658604573281,-0.203674388897233,-1.35378621213021,-0.21147510059903,0.385081895606782,0.668202793373669,3.28017366208297,2.36512019553185,0.247171000753537,0.668202793373669,0.198133215048999,-0.112534314815939,-0.682809157412967,-0.61527017878076,-0.504462412701522,-0.831375437190147,1.65340588188993,1.77686440349848,3.16518243771661,4.49777667947999,4.8601233972067,5.28217579442448,2.12602916254693,2.36854385646541,5.63116329012047,9.5388678573508,10.7144761887831,12.1400164744534,4.5107496103686,4.74319148388547,4.99301428533885,3.48425264216782,4.85351353832404,11.3221022782874,5.04217656053113,-0.870139868659836,-1.00835466578919,0.0743385181568305,1.13697319363546,0.870022280624397,0.762443571534854,0.836508738391718,0.823337033476965,0.812430672424085,-0.765856540455024
