"location","loc","ruRES","urbRES","totRES","intURB","intURB_IND","grass","greenery","greenery_bareEarth","not_greenBE","not_green","paved","log_paved","roofs","impervious","nodev","trees","sqrt_traffic","sqrt_traffic_max","sqrt_traffic_mean","sqrt_traffic_sum","roads","rail_max","rail_mean","rail_sum","sqrt_popn","no2","pm25_na","partSA","sqrt_slope","sqrt_CO2_res","sqrt_CO2_com","sqrt_CO2_road","sqrt_CO2_nonroad","sqrt_CO2_almostTotal","sqrt_CO2_transport","sqrt_CO2_cmv_rail","log_CO2_cmv_rail","sqrt_CO2_transport_max","sqrt_CO2_transport_mean","sqrt_CO2_transport_sum","devAge2","roof_intURB","roof_urbRES","roof_intURB_IND","roof_totRES"
"KICLDRS8D_OUT","KIC_LDR",2.19903680354521,0.259251959405397,2.09601120394022,-0.797378749665018,-1.02000120234299,0.963333346054701,0.718017795098558,0.71617650528807,-0.71617650528807,-0.718017795098558,-0.823077611368061,-0.825957293313219,0.0783472117724974,-0.718251657255363,1.0550087190644,1.09118290229995,-0.658115742564245,-0.877808924927621,-0.677922738984589,-0.630875713954771,-0.430088598546136,-0.609449400220044,-0.399481686928586,-0.555464876791855,-0.693424151197117,1.61342785458363,-0.767476510221767,-0.573475829193351,0.690413454834022,-0.132866953973141,-0.9835920614585,-1.09277058867982,-0.601771217874318,-1.24928461053911,-1.33112974378088,-0.444239407429542,-0.712075698087716,-1.36715898848137,-1.33112974378088,-0.851487904464907,-1.30749672760393,-0.682809157412967,-0.424876539938592,-0.814490509317589,1.18829057257282
"KICHDRS8D_OUT","KIC_HDR",-0.398541823647029,1.20781296183091,0.37971608965611,-0.797378749665018,-1.02000120234299,1.93014279111382,1.27273928613453,1.27256909568781,-1.27256909568781,-1.27273928613452,-1.16963922536346,-1.55247699964138,-0.637480244419503,-1.32670464798279,-0.0279326156715865,-0.359421268287733,-1.15375767998969,-0.995292008314189,-1.17746562143237,-0.660082128148359,0.617807489820029,-0.609449400220044,-0.399481686928586,-0.555464876791855,-0.342333383219184,-1.74561609601164,-0.911081667863456,-1.4459267119003,-0.9206134425137,-0.581752343646302,-0.836773392102955,-0.546306436543838,-1.1302464345183,-0.87550888916237,-0.753934910141664,-0.444239407429542,-0.712075698087716,-0.893097824119257,-0.753934910141664,-0.76946947900404,0.256711358450372,-0.682809157412967,-0.0842575576584605,-0.814490509317589,-0.374128016825847
"SEAI1S8D_OUT","SEA_IND",-0.398541823647029,1.16337539039274,0.352816022708059,-0.218601839037005,-0.0833365559224534,-0.40085340493949,0.883468037417132,0.885278029898135,-0.885278029898135,-0.883468037417132,-0.55443198399294,-0.407843209305616,-0.975191915061406,-0.903933890047628,1.65569905066235,1.70226710586695,1.19199752547426,0.24696826441565,1.04024370745449,0.446554892240661,-0.365271898372269,-0.609449400220044,-0.399481686928586,-0.555464876791855,-0.657002819941943,1.6864504788113,1.16991493295045,0.0290800137725809,2.20982206996108,-0.00319155287854029,-0.18375231324972,1.67659801291214,-0.23898117452112,1.31361910089753,1.62496707359656,0.197248493212629,1.04435700470789,1.12969954446778,1.62496707359656,0.841131294542574,-1.29913099353748,-0.511404099591816,-0.231077677971387,-0.303740390424316,-0.500552735561864
"SNO_COM","SNO_COM",-0.398541823647029,-0.836805114337189,-0.857983481947201,1.56905387258138,1.40091192203518,-0.437886916033945,-0.277595959163603,-0.282436536973924,0.282436536973924,0.277595959163603,-0.096913650658734,0.142831337599204,1.13080178927544,0.373799364217657,-0.613050972486333,-0.666301729488202,0.800393773872047,0.0467040871558877,1.13512795651564,0.235423808041198,0.203604753280071,-0.609449400220044,-0.399481686928586,-0.555464876791855,1.43178944169354,-0.492059869076169,-0.914686690095396,-0.30985779606332,0.0097964793185241,1.44732572273196,0.746479819718672,-0.0959604592575449,1.63911669524091,0.17205609241139,-0.278263504389195,-0.444239407429542,-0.712075698087716,1.17602951909443,-0.278263504389195,-0.218399438751796,-0.346685747684989,1.61129495344717,-0.61527017878076,1.54379168798706,-0.831375437190147
"SNO_LDR","SNO_LDR",2.5124158289048,-0.836805114337189,1.70885084810103,-0.797378749665018,-1.02000120234299,1.52138653471676,1.37051623492121,1.37088600524237,-1.37088600524237,-1.37051623492121,-1.11606722437268,-1.42032859715769,-1.01939173002847,-1.43395248467709,2.38462454908996,0.258865909930956,-1.04523725600813,-0.763720095417573,-1.03422167793366,-0.56834212517421,-1.48270065303129,-0.609449400220044,-0.399481686928586,-0.555464876791855,-0.982547394290751,-0.453802775405328,-1.20148517594374,-0.0443772920259789,0.0307241308890459,-0.791786644659362,-0.954636410752803,-1.16236642841734,-1.11651983714144,-1.45768346401843,-1.40164221805604,-0.351471627602573,-0.274058749200025,-1.2119131742656,-1.40164221805604,-0.663509273783801,-2.0030910792112,-0.682809157412967,-0.61527017878076,-0.814490509317589,1.37896664617743
"SEAC1S8D_OUT","SEA_COM",-0.398541823647029,-0.703889287237028,-0.777523534840853,1.41222166476733,1.24046909063869,-0.73161486573504,-0.788538016937365,-0.794917808499938,0.794917808499938,0.788538016937365,0.10113121378509,0.339169990606361,2.06038729181322,0.934232357149613,-0.649167773836422,-0.5827052272582,1.35218737003553,2.09339981290885,1.33818351729666,0.656151073396798,1.47846652098291,-0.609449400220044,-0.399481686928586,-0.555464876791855,2.45650822024565,0.724985044528424,0.185346467949857,2.42675032646123,0.170378477916017,1.97030272229552,2.45620317552345,2.05861535028134,2.05202583794988,2.27028794898629,1.99747593998047,-0.444239407429542,-0.712075698087716,1.69092689368518,1.99747593998047,1.12034930660079,0.905031965337867,2.13178981721718,-0.292838371265017,2.07884751444521,-0.553733990705551
"SEAR1S8D_OUT","SEA_HDR",-0.398541823647029,1.52810275977411,0.573601955346074,-0.435890446404971,-0.650190640468336,0.163866632032855,0.52537420733636,0.5229525784149,-0.5229525784149,-0.52537420733636,-0.728431297330855,-0.667917442784345,0.384278706579473,-0.506948201577569,-0.741313462709205,0.398556500944987,0.178336604312863,-0.0364141596864334,0.252146390620278,-0.127134230135708,0.628461976726319,-0.609449400220044,-0.399481686928586,-0.555464876791855,0.649909441143862,0.019099087133174,-0.331235463550865,-1.07560577835859,-0.016880294627105,1.34346475112916,0.4817696364372,0.0621117569748689,0.54949443751319,0.207896808956236,-0.110056980368608,-0.348669313308399,-0.258509423095624,-0.379479247073897,-0.110056980368608,-0.213666972982925,1.07288701551952,-0.330435479409224,2.4786488383819,-0.45225909719418,1.83275425227698
"POT564S8D_OUT","POT_COM",-0.398541823647029,-0.836805114337189,-0.857983481947201,-0.797378749665018,0.539049598329629,-1.45066663136634,-1.66875424704583,-1.67758187833038,1.67758187833038,1.66875424704583,1.9261546034438,1.56253264440274,-1.65361202450396,1.07996892939058,0.182316205378552,-0.813437033240266,-1.2530708756054,-0.677269954337822,-1.26786519092347,-0.628304236688528,-1.95467147737858,1.52362350055011,1.27412946778088,2.41681913661477,-1.45313134175585,0.299019440386084,0.632050893721571,0.575146138914421,-1.37847997933918,-1.37658604573281,-0.203674388897233,-1.35378621213021,-0.21147510059903,0.385081895606782,0.668202793373669,3.28017366208297,2.36512019553185,0.247171000753537,0.668202793373669,0.198133215048999,-0.112534314815939,-0.682809157412967,-0.61527017878076,-0.504462412701522,-0.831375437190147
"PIECOMM_OUT","PIE_COM",-0.398541823647029,-0.836805114337189,-0.857983481947201,1.56905387258138,1.40091192203518,-0.494313845190377,-0.433393200221036,-0.438703117464959,0.438703117464959,0.433393200221037,0.323527898226239,0.537832266590404,0.611176123051975,0.544687457628477,-0.741313462709205,-0.639624105098666,-0.519441608371021,0.365932543876558,-0.507146003466212,-0.570182139631369,-0.615029227313394,-0.609449400220044,-0.399481686928586,-0.555464876791855,-0.0176625932785783,-0.199969078857662,0.54964498826564,0.204825690555769,0.728688851959705,-0.469017173495657,-0.48305722072177,0.593175976566318,-0.425362964537581,0.212041315269559,0.449626859279342,-0.444239407429542,-0.712075698087716,0.140946238388577,0.449626859279342,-0.583426916194453,0.399332430780704,1.25070988070025,-0.61527017878076,1.17311916547715,-0.831375437190147
"SNO_HDR","SNO_HDR",-0.398541823647029,0.714605073568329,0.0811551020911217,-0.797378749665018,-1.02000120234299,-0.00120350147301617,0.59309990182177,0.590882296661413,-0.590882296661413,-0.59309990182177,-0.732193565351368,-0.673954497403998,0.210901914172244,-0.581233955520635,-0.348671375224484,2.19319760780511,-0.699148975180143,-0.851366809227295,-0.740393467741634,-0.573746765139001,0.29254631514392,-0.609449400220044,-0.399481686928586,-0.555464876791855,0.292211606067778,-0.406866517009167,-1.20631829081516,-0.0462392840268495,-1.01046228361595,0.224242030529656,-0.617843301747087,-0.556318993586744,-0.49978611267582,-0.704233384763638,-0.764510528275249,-0.444239407429542,-0.712075698087716,-0.943482846638012,-0.764510528275249,-0.677878343609528,-0.689377318049911,-0.682809157412967,1.51406847860335,-0.814490509317589,1.00216781478206
